,Date,Contest_number,Word,Number_of_reported_results,Number_in_hard_mode,1_try,2_tries,3_tries,4_tries,5_tries,6_tries,7_or_more_tries(X),sum,ratie_hard_normal,average_of_tries,Count
29,2022-02-05,231,aloft,319698,13708,1,4,22,36,25,11,2,101,0.04287796608048846,4.198019801980198,497342
30,2022-02-06,232,skill,311018,13716,1,3,17,33,27,16,3,100,0.04410034145933676,4.42,15835076
31,2022-02-07,233,elder,288228,13340,1,3,13,24,30,24,5,100,0.04628280389136378,4.71,7299470
32,2022-02-08,234,frame,336236,15369,1,10,20,24,24,17,3,99,0.045708966321274344,4.242424242424242,46079991
33,2022-02-09,235,humor,305372,13846,1,5,22,34,25,11,2,100,0.04534141964554707,4.18,18085495
34,2022-02-10,236,pause,304830,13480,1,8,26,32,21,10,2,100,0.04422136928779976,4.02,4606318
35,2022-02-11,237,ulcer,278826,10631,1,4,18,30,28,16,3,100,0.038127721231162086,4.4,1336605
36,2022-02-12,238,ultra,269885,9310,1,7,23,34,24,10,1,100,0.034496174296459604,4.07,21795075
37,2022-02-13,239,robin,277471,3249,1,6,29,34,21,8,1,100,0.011709331786024485,3.96,11423944
38,2022-02-14,240,cynic,261521,10343,1,6,25,33,22,11,2,100,0.03954940521028904,4.1,525906
39,2022-02-15,241,aroma,287836,10343,1,6,25,33,22,11,2,100,0.03593365666560124,4.1,2018777
40,2022-02-16,242,caulk,289721,10740,1,4,20,31,26,15,3,100,0.03707014679640067,4.34,245944
41,2022-02-17,243,shake,342003,12767,1,6,16,23,24,21,9,100,0.03733008189986638,4.62,6839319
42,2022-02-18,244,dodge,265238,10220,1,3,15,29,27,19,7,101,0.03853143214773147,4.6138613861386135,14768509
43,2022-02-19,245,swill,282327,11241,1,1,8,19,31,30,10,100,0.03981553305209916,5.08,92032
44,2022-02-20,246,tacit,273306,11094,1,4,21,32,26,14,3,101,0.040591864064455224,4.306930693069307,594255
45,2022-02-21,247,other,278731,10887,1,9,26,30,21,10,2,99,0.03905916457085864,4.0,978481319
46,2022-02-22,248,thorn,306356,11814,1,14,38,30,12,4,0,99,0.03856297901787463,3.505050505050505,1421673
47,2022-02-23,249,trove,277576,11411,1,5,16,24,25,22,8,101,0.0411094619131337,4.633663366336633,702353
48,2022-02-24,250,bloke,250674,10405,1,6,21,32,25,12,2,99,0.04150809417809585,4.191919191919192,766763
49,2022-02-25,251,vivid,255907,11687,1,2,10,29,33,21,4,100,0.04566893441758139,4.7,4479514
50,2022-02-26,252,spill,248363,10087,1,5,26,34,22,10,2,100,0.040613940079641496,4.09,3890646
51,2022-02-27,253,chant,250413,10438,1,9,33,33,16,7,1,100,0.04168313945362261,3.79,1374428
52,2022-02-28,254,choke,251094,10521,1,8,30,36,18,6,1,100,0.04190064278716337,3.84,1448146
53,2022-03-01,255,rupee,240137,10577,1,2,17,35,30,13,2,100,0.044045690584957754,4.38,2831536
54,2022-03-02,256,nasty,257304,10813,1,7,26,31,21,11,2,99,0.042024220377452355,4.0606060606060606,7434847
55,2022-03-03,257,mourn,240018,10465,1,8,29,34,19,8,1,100,0.04360089659942171,3.9,779010
56,2022-03-04,258,ahead,203730,9396,1,5,20,35,26,12,2,101,0.0461198645265793,4.227722772277228,28375319
57,2022-03-05,259,brine,229895,10405,1,9,25,29,22,12,3,101,0.04525979251397377,4.089108910891089,816003
58,2022-03-06,260,cloth,218595,9911,1,8,33,34,17,7,1,101,0.04533955488460395,3.8217821782178216,9764137
59,2022-03-07,261,hoard,218595,9823,1,9,30,34,19,7,1,101,0.04493698392003477,3.8514851485148514,433375
60,2022-03-08,262,sweet,207473,9767,1,5,18,31,28,15,2,100,0.0470760050705393,4.33,32311923
61,2022-03-09,263,month,201799,9435,1,5,26,37,22,8,1,100,0.04675444377821496,4.02,123027963
62,2022-03-10,264,lapse,208884,9960,0,8,31,34,19,7,1,100,0.04768196702476015,3.89,1459542
63,2022-03-11,265,watch,226349,12400,1,6,14,18,17,24,20,100,0.054782658637767344,4.96,92006970
64,2022-03-12,266,today,192049,9353,1,7,29,35,20,7,1,100,0.04870111273685362,3.91,239271204
65,2022-03-13,267,focus,179436,8937,1,4,23,36,24,10,1,99,0.0498060589848191,4.1313131313131315,65626732
66,2022-03-14,268,smelt,185406,9373,0,5,19,33,28,13,2,100,0.05055391950638059,4.31,301053
67,2022-03-15,269,tease,202855,10024,1,16,32,30,16,6,1,102,0.0494146064923221,3.6470588235294117,2019275
68,2022-03-16,270,cater,217856,11234,1,7,19,22,19,18,15,101,0.05156617215041128,4.633663366336633,2092828
69,2022-03-17,271,movie,169071,8847,1,5,18,30,26,16,3,99,0.05232712883936334,4.363636363636363,158421100
70,2022-03-18,272,saute,179830,9304,1,8,31,34,19,6,1,100,0.051737752321637104,3.84,546457
71,2022-03-19,273,allow,156311,8515,0,5,21,32,26,14,3,101,0.05447473306421173,4.316831683168317,67052567
72,2022-03-20,274,renew,154987,8417,0,4,20,33,27,13,2,99,0.05430778065257086,4.313131313131313,6561081
73,2022-03-21,275,their,173636,9200,2,14,36,30,13,4,0,99,0.052984404155820224,3.505050505050505,782849411
74,2022-03-22,276,slosh,160161,8807,0,2,19,36,27,13,2,99,0.05498841790448361,4.363636363636363,51634
75,2022-03-23,277,purge,156785,8555,1,4,22,35,26,11,2,101,0.054565168861817136,4.207920792079208,1366135
76,2022-03-24,278,chest,169066,9318,1,14,35,31,14,5,1,101,0.05511457064105142,3.613861386138614,13516414
77,2022-03-25,279,depot,150197,8562,0,5,29,36,20,7,1,98,0.05700513325832074,3.979591836734694,9688338
78,2022-03-26,280,epoxy,149507,9376,0,2,13,31,33,18,3,100,0.06271278267907188,4.61,1908076
79,2022-03-27,281,nymph,165468,9935,1,2,18,44,26,26,9,126,0.0600418207750139,4.634920634920635,697326
80,2022-03-28,282,found,173696,10613,1,6,17,22,20,21,14,101,0.06110100405305822,4.712871287128713,232005894
81,2022-03-29,283,shall,149070,8494,0,3,17,30,28,17,4,99,0.05697994230898236,4.515151515151516,191963867
82,2022-03-30,284,stove,158139,9318,0,5,16,24,27,21,6,99,0.05892284635668621,4.616161616161616,3914849
83,2022-03-31,285,lowly,135219,8469,0,2,9,26,32,24,8,101,0.06263173074789785,4.900990099009901,543486
84,2022-04-01,286,snout,144648,8913,1,4,19,27,26,18,5,100,0.061618549858967975,4.47,258314
85,2022-04-02,287,trope,155079,9315,1,16,33,28,15,6,1,100,0.060066159828216587,3.62,109419
86,2022-04-03,288,fewer,124532,7931,0,2,10,24,32,26,6,100,0.063686442038994,4.88,10792786
87,2022-04-04,289,shawl,129651,7943,0,3,16,31,30,16,3,99,0.06126447154283422,4.494949494949495,1011728
88,2022-04-05,290,natal,121356,7702,0,2,14,32,32,17,3,100,0.06346616566135997,4.57,3010028
89,2022-04-06,291,comma,117856,7560,0,2,13,33,33,17,3,101,0.0641460765680152,4.584158415841584,2711522
90,2022-04-07,292,foray,117761,7575,0,2,14,31,31,19,4,101,0.06432520104279006,4.623762376237623,499808
91,2022-04-08,293,scare,141158,9010,1,12,23,26,21,13,4,100,0.06382918431828165,4.09,2972708
92,2022-04-09,294,stair,134210,8537,2,21,36,26,11,4,1,101,0.06360926905595708,3.386138613861386,2012524
93,2022-04-10,295,black,126241,7894,1,10,31,34,18,6,1,101,0.06253119034228183,3.792079207920792,244690155
94,2022-04-11,296,squad,109828,7236,0,3,20,33,27,14,2,99,0.06588483811050005,4.353535353535354,8744772
95,2022-04-12,297,royal,114907,7275,1,5,24,36,23,9,1,99,0.06331206976076305,4.070707070707071,45407189
96,2022-04-13,298,chunk,123255,7835,1,4,29,42,18,5,1,100,0.06356740091679851,3.91,2371231
97,2022-04-14,299,mince,113448,7356,0,6,24,35,24,10,1,100,0.06484027924687963,4.11,328039
98,2022-04-15,300,shame,129991,8522,1,11,22,25,21,15,5,100,0.06555838481125617,4.19,6785296
99,2022-04-16,301,cheek,107987,7035,0,3,19,40,28,9,1,100,0.06514673062498264,4.24,2681029
100,2022-04-17,302,ample,106681,7008,0,4,20,35,27,11,2,99,0.0656911727486619,4.2727272727272725,3187842
101,2022-04-18,303,flair,112383,7341,1,8,30,36,18,6,1,100,0.06532126745148288,3.84,1924190
102,2022-04-19,304,foyer,108899,8198,0,2,10,19,19,23,26,99,0.07528076474531446,5.303030303030303,1042532
103,2022-04-20,305,cargo,102007,6796,0,5,20,34,27,12,2,100,0.06662287882204163,4.27,9748668
104,2022-04-21,306,oxide,97955,6960,0,2,11,30,33,21,4,101,0.07105303455668419,4.712871287128713,5321340
105,2022-04-22,307,plant,119232,7731,2,19,39,28,10,3,0,101,0.06483997584541062,3.3366336633663365,53247607
106,2022-04-23,308,olive,95562,6482,1,6,25,34,23,10,1,100,0.06783030911868734,4.06,9298184
107,2022-04-24,309,inert,97452,6743,0,7,27,34,22,9,1,100,0.06919303862414317,4.02,935898
108,2022-04-25,310,askew,91548,6549,0,3,13,29,32,19,4,100,0.07153624328221261,4.63,473664
109,2022-04-26,311,heist,103153,6830,1,13,32,31,16,6,1,100,0.0662123253807451,3.7,419629
110,2022-04-27,312,shown,98967,6564,0,6,26,36,22,8,1,99,0.06632513868259117,4.03030303030303,68755779
111,2022-04-28,313,zesty,88974,6315,0,2,12,27,30,22,7,100,0.07097579068042349,4.79,210124
112,2022-04-29,314,trash,106652,7001,2,19,34,27,13,4,1,100,0.06564340096763305,3.46,313105
113,2022-04-30,315,larva,77991,5749,0,2,10,25,35,23,4,99,0.07371363362439255,4.797979797979798,462298
114,2022-05-01,316,forgo,77658,5699,0,1,9,26,37,23,3,99,0.07338587138478972,4.818181818181818,340426
115,2022-05-02,317,story,95643,6530,1,10,23,29,24,11,2,100,0.06827472998546678,4.06,138433809
116,2022-05-03,318,hairy,85817,5941,1,8,24,33,23,10,1,100,0.06922870759872753,4.03,19060619
117,2022-05-04,319,train,107750,7243,6,26,32,22,10,3,0,99,0.06722041763341068,3.1313131313131315,31816971
118,2022-05-05,320,homer,85979,6313,0,3,16,26,24,19,12,100,0.07342490608171763,4.76,4281428
119,2022-05-06,321,badge,76292,5482,0,4,20,35,26,12,2,99,0.07185550254286163,4.282828282828283,6145138
120,2022-05-07,322,midst,74458,5233,0,3,25,39,24,9,1,101,0.07028123237261275,4.138613861386139,3381410
121,2022-05-08,323,canny,72518,5256,0,2,10,30,34,20,4,100,0.07247855704790535,4.72,209480
122,2022-05-09,324,shine,88932,6146,1,14,32,30,17,6,1,101,0.06910898214366032,3.6930693069306932,5881862
123,2022-05-10,325,gecko,74412,5489,0,2,16,38,29,12,2,99,0.07376498414234263,4.393939393939394,1230211
124,2022-05-11,326,farce,79446,5688,0,9,26,32,21,9,1,98,0.07159580092138056,3.979591836734694,727546
125,2022-05-12,327,slung,75673,5419,0,2,16,37,31,13,2,101,0.0716107462370991,4.425742574257426,253265
126,2022-05-13,328,tipsy,77585,5522,0,6,33,38,17,5,1,100,0.07117355158858027,3.85,279464
127,2022-05-14,329,metal,73225,5290,1,10,31,34,18,7,1,102,0.07224308637760328,3.8137254901960786,56181783
128,2022-05-15,330,yield,67115,4963,0,4,16,29,29,18,4,100,0.07394770170602696,4.53,15022494
129,2022-05-16,331,delve,68349,5179,0,2,14,32,33,16,2,99,0.07577287158553893,4.5353535353535355,640909
130,2022-05-17,332,being,70722,5142,0,4,22,37,26,10,1,100,0.07270721981844405,4.19,242783091
131,2022-05-18,333,scour,73933,5544,0,8,34,35,17,5,1,100,0.07498681238418568,3.8,411478
132,2022-05-19,334,glass,70920,5162,0,4,19,33,27,14,3,100,0.07278623801466441,4.37,63559754
133,2022-05-20,335,gamer,69884,5238,1,4,17,28,26,18,6,100,0.07495277889073322,4.52,3144985
134,2022-05-21,336,scrap,66814,4973,1,9,28,34,20,8,1,101,0.07443050857604694,3.900990099009901,3757085
135,2022-05-22,337,money,67909,4928,1,7,26,36,21,8,1,100,0.07256770089384323,3.97,190205072
136,2022-05-23,338,hinge,66431,4906,0,5,25,37,22,9,2,100,0.0738510635095061,4.11,1758893
137,2022-05-24,339,album,63380,4809,0,5,26,35,24,9,1,100,0.07587567055853582,4.09,77914316
138,2022-05-25,340,vouch,62723,4835,0,2,9,25,33,24,6,99,0.07708496085965276,4.8686868686868685,388963
139,2022-05-26,341,asset,63188,4733,0,7,28,34,21,8,1,99,0.07490346268278787,3.9797979797979797,18178753
140,2022-05-27,342,tiara,63846,4842,0,8,36,33,17,6,1,101,0.07583873696081195,3.801980198019802,923335
141,2022-05-28,343,crept,60069,4562,0,4,27,38,22,7,1,99,0.07594599543857897,4.040404040404041,588735
142,2022-05-29,344,bayou,56839,4435,0,6,17,33,29,13,2,100,0.07802741075669875,4.32,1397958
143,2022-05-30,345,atoll,60969,4741,0,6,28,36,21,8,1,100,0.07776082927389329,4.0,908471
144,2022-05-31,346,manor,62768,4802,0,6,27,34,21,10,2,100,0.07650395105786388,4.08,7084688
145,2022-06-01,347,creak,63241,4797,0,5,21,32,25,14,3,100,0.07585269050141522,4.31,124122
146,2022-06-02,348,showy,61278,4770,0,2,16,37,30,13,2,100,0.07784196612160971,4.42,294798
147,2022-06-03,349,peach,65431,4957,1,13,38,32,13,3,0,100,0.0757591967110391,3.52,3938068
148,2022-06-04,350,froth,58263,4432,0,5,22,35,25,11,1,99,0.07606886016854608,4.181818181818182,278469
149,2022-06-05,351,depth,56738,4329,0,6,28,39,20,6,1,100,0.07629807183897917,3.95,31879926
150,2022-06-06,352,gloom,58478,4548,0,2,14,35,35,13,1,100,0.07777283764834639,4.46,878018
151,2022-06-07,353,flood,58991,4440,0,3,20,40,28,8,1,100,0.07526571849943212,4.21,13979267
152,2022-06-08,354,trait,61026,4607,0,6,22,35,24,11,2,100,0.07549241306983909,4.18,1705417
153,2022-06-09,355,girth,60020,4665,0,6,23,33,23,12,3,100,0.07772409196934356,4.21,492919
154,2022-06-10,356,piety,55376,4324,0,4,25,41,22,7,1,100,0.07808436867957237,4.06,595389
155,2022-06-11,357,goose,51958,4087,0,2,12,28,32,21,5,100,0.0786596866700027,4.73,3739382
156,2022-06-12,358,float,56684,4323,1,12,30,32,18,6,1,100,0.07626490720485499,3.76,8808655
157,2022-06-13,359,donor,53802,4142,0,3,27,38,23,7,1,99,0.07698598565109104,4.070707070707071,7096675
158,2022-06-14,360,atone,59968,4762,2,16,34,29,14,4,1,100,0.0794090181430096,3.53,152901
159,2022-06-15,361,primo,55989,4391,0,3,22,38,25,10,2,100,0.07842611941631392,4.23,912120
160,2022-06-16,362,apron,53430,4112,0,7,30,38,19,5,1,100,0.0769605090772974,3.88,1617357
161,2022-06-17,363,blown,54665,4251,0,6,23,35,26,10,1,101,0.07776456599286563,4.138613861386139,4229918
162,2022-06-18,364,cacao,47205,4101,0,1,9,27,36,23,4,100,0.08687639021290118,4.83,331714
163,2022-06-19,365,loser,55359,4399,1,10,28,32,19,8,2,100,0.07946314059141242,3.9,2529180
164,2022-06-20,366,input,50484,3950,0,5,30,38,21,6,1,101,0.07824261152048173,3.9603960396039604,57191675
165,2022-06-21,367,gloat,53342,4194,0,8,21,31,26,12,2,100,0.0786247234824341,4.19,113594
166,2022-06-22,368,awful,47645,3861,0,5,21,33,27,12,2,100,0.0810368349249659,4.26,5217370
167,2022-06-23,369,brink,53111,4118,0,4,22,41,24,7,1,99,0.0775357270621905,4.111111111111111,1484879
168,2022-06-24,370,smite,50617,3991,0,6,23,35,24,11,2,101,0.07884702767844795,4.1683168316831685,270393
169,2022-06-25,371,beady,46089,3670,0,3,19,39,29,10,1,101,0.07962854477207143,4.267326732673268,87974
170,2022-06-26,372,rusty,50450,3954,0,9,37,34,13,5,1,99,0.07837462834489593,3.707070707070707,2780895
171,2022-06-27,373,retro,47986,3848,0,6,24,35,24,9,1,99,0.08019005543283457,4.090909090909091,8000179
172,2022-06-28,374,droll,47312,3844,0,2,16,31,31,17,3,100,0.08124788637132228,4.54,196087
173,2022-06-29,375,gawky,45645,3957,0,1,5,22,33,28,10,99,0.08669076569175156,5.1313131313131315,31136
174,2022-06-30,376,hutch,44212,3758,0,1,12,28,28,21,9,99,0.08499954763412648,4.838383838383838,1373107
175,2022-07-01,377,pinto,47248,3792,0,5,25,41,22,6,1,100,0.08025736539112767,4.02,1108872
176,2022-07-02,378,egret,41765,3515,0,3,14,33,33,15,2,100,0.08416137914521729,4.49,394773
177,2022-07-03,379,lilac,40486,3461,0,2,17,38,29,12,1,99,0.08548634095736798,4.353535353535354,1738684
178,2022-07-04,380,sever,42645,3591,0,2,13,27,29,21,7,99,0.08420682377769961,4.757575757575758,686306
179,2022-07-05,381,field,44578,3604,1,6,25,36,23,9,1,101,0.08084705460092423,4.03960396039604,135289140
180,2022-07-06,382,fluff,47344,4049,0,0,4,25,44,23,4,100,0.08552298073673538,4.98,814535
181,2022-07-07,383,agape,43407,3671,0,2,18,36,27,15,3,101,0.08457161287349967,4.435643564356436,414471
182,2022-07-08,384,voice,42806,3484,1,5,24,35,25,9,1,100,0.08139045928140914,4.09,64600528
183,2022-07-09,385,stead,47094,3933,1,6,20,27,28,16,3,101,0.0835138234169958,4.336633663366337,724786
184,2022-07-10,386,berth,41785,3494,0,7,24,35,24,9,1,100,0.08361852339356228,4.07,1056010
185,2022-07-11,387,madam,40545,3430,0,3,13,35,34,14,2,101,0.0845973609569614,4.485148514851486,2023575
186,2022-07-12,388,night,46910,3870,1,8,27,27,17,13,7,100,0.08249840119377531,4.18,130531484
187,2022-07-13,389,bland,46246,3727,0,7,31,38,18,4,0,98,0.08059075379492281,3.806122448979592,1606490
188,2022-07-14,390,liver,40549,3388,0,4,16,26,25,20,8,99,0.08355323189227848,4.656565656565657,12139363
189,2022-07-15,391,wedge,39234,3353,0,2,11,32,37,17,2,101,0.08546158943773258,4.6138613861386135,3162851
190,2022-07-16,392,roomy,38769,3280,0,2,17,41,28,10,2,100,0.0846036781964972,4.33,574188
191,2022-07-17,393,wacky,39611,3345,0,3,18,39,27,10,2,99,0.08444623968089672,4.292929292929293,1861879
192,2022-07-18,394,flock,42574,3548,0,4,22,37,27,9,1,100,0.0833372480856861,4.18,2585098
193,2022-07-19,395,angry,39667,3358,0,5,27,38,21,7,1,99,0.08465475080041344,4.01010101010101,9267505
194,2022-07-20,396,trite,42237,3685,0,4,14,22,22,23,15,100,0.08724577976655538,4.91,287494
195,2022-07-21,397,aphid,39086,3367,0,6,24,36,23,9,2,100,0.08614337614491122,4.11,295138
196,2022-07-22,398,tryst,43099,3665,0,3,26,41,23,6,1,100,0.08503677579526207,4.06,205722
197,2022-07-23,399,midge,36769,3111,0,2,18,39,28,10,2,99,0.08460931763170061,4.3232323232323235,308737
198,2022-07-24,400,power,39813,3401,2,6,19,29,24,15,4,99,0.0854243588777535,4.292929292929293,226596368
199,2022-07-25,401,elope,39228,3339,0,4,22,32,26,13,2,99,0.08511777301927195,4.282828282828283,74984
200,2022-07-26,402,cinch,39171,3507,0,2,15,24,22,25,13,101,0.08953052002757142,4.910891089108911,427247
201,2022-07-27,403,motto,38384,3285,0,1,11,36,36,14,1,99,0.08558253438932889,4.545454545454546,1894147
202,2022-07-28,404,stomp,40650,3490,0,7,26,32,21,11,2,99,0.08585485854858549,4.090909090909091,1168038
203,2022-07-29,405,upset,37791,3213,0,5,30,38,20,6,1,100,0.08502024291497975,3.95,5544484
204,2022-07-30,406,bluff,37353,3171,0,2,14,42,31,10,1,100,0.08489277969640993,4.36,3906671
205,2022-07-31,407,cramp,39250,3369,1,8,26,33,19,10,2,99,0.0858343949044586,4.0,402123
206,2022-08-01,408,quart,36662,3303,0,5,20,33,27,13,2,100,0.09009328459985816,4.29,2002127
207,2022-08-02,409,coyly,34909,3380,0,0,4,17,28,35,15,99,0.09682316881033544,5.404040404040404,52174
208,2022-08-03,410,youth,38381,3327,1,5,17,31,29,15,3,101,0.08668351528099841,4.376237623762377,51426255
209,2022-08-04,411,rhyme,37229,3336,0,4,22,39,25,8,1,99,0.08960756399580971,4.141414141414141,1530733
210,2022-08-05,412,buggy,37350,3428,0,1,9,29,34,22,5,100,0.09178045515394913,4.82,1955438
211,2022-08-06,413,alien,38841,3395,3,17,31,29,15,4,0,99,0.0874076362606524,3.484848484848485,10490554
212,2022-08-07,414,smear,36223,3190,0,2,16,39,29,12,2,100,0.08806559368357121,4.39,1289528
213,2022-08-08,415,unfit,35516,3187,0,3,24,38,25,9,1,100,0.08973420430228629,4.16,814145
214,2022-08-09,416,patty,36223,3019,0,2,16,39,29,12,1,99,0.08334483615382492,4.363636363636363,2339693
215,2022-08-10,417,cling,37654,3312,0,4,20,34,27,13,2,100,0.08795878259945822,4.31,946281
216,2022-08-11,418,glean,37301,3243,0,6,23,37,24,8,1,99,0.08694136886410551,4.08080808080808,232952
217,2022-08-12,419,label,34198,3076,0,4,18,32,29,15,2,100,0.08994678051348032,4.39,41359857
218,2022-08-13,420,hunky,35276,3185,0,1,11,33,25,22,7,99,0.09028801451411725,4.777777777777778,279599
219,2022-08-14,421,khaki,31652,2968,0,2,17,33,28,16,4,100,0.09376974598761531,4.51,1481504
220,2022-08-15,422,poker,35376,3180,0,4,17,30,27,17,5,100,0.08989145183175033,4.51,129054826
221,2022-08-16,423,gruel,35105,3087,0,3,19,39,29,9,1,100,0.08793619142572283,4.25,82196
222,2022-08-17,424,twice,35815,3173,1,6,28,38,21,6,1,101,0.08859416445623342,3.9306930693069306,19945569
223,2022-08-18,425,twang,34938,3172,0,3,22,43,25,7,1,101,0.09078939836281413,4.138613861386139,243118
224,2022-08-19,426,shrug,33965,2987,0,4,23,36,26,10,1,100,0.08794347122037391,4.18,720506
225,2022-08-20,427,treat,38245,3249,1,22,32,26,14,5,1,101,0.08495228134396653,3.485148514851485,19442315
226,2022-08-21,428,waste,35617,3186,1,7,19,27,24,17,5,100,0.08945166633910773,4.37,41089558
227,2022-08-22,429,merit,35888,3123,0,7,33,37,17,5,0,99,0.08702073116362015,3.797979797979798,6450895
228,2022-08-23,430,woven,33549,2933,0,2,13,32,32,17,3,99,0.08742436436257414,4.585858585858586,4248524
229,2022-08-24,431,needy,33700,2927,0,2,21,41,26,9,1,100,0.08685459940652819,4.22,1636137
230,2022-08-25,432,clown,36737,3175,1,8,29,36,20,6,1,101,0.08642512997795139,3.871287128712871,3081501
231,2022-08-26,433,irony,34716,3046,0,6,29,34,21,8,1,99,0.08774052310173983,3.98989898989899,2212193
232,2022-08-27,434,ruder,31241,2784,0,2,16,33,29,16,4,100,0.08911366473544381,4.53,89666
233,2022-08-28,435,gauze,30214,2866,0,2,11,24,31,25,8,101,0.09485668895214139,4.891089108910891,556178
234,2022-08-29,436,chief,34281,3072,1,6,32,38,18,5,0,100,0.08961232169423296,3.81,45699591
235,2022-08-30,437,onset,33660,3009,0,4,29,40,21,6,1,101,0.0893939393939394,3.99009900990099,3858839
236,2022-08-31,438,prize,35343,3166,0,5,12,20,32,26,5,100,0.08957926604985429,4.77,16204739
237,2022-09-01,439,fungi,31903,2928,0,2,18,41,28,9,1,99,0.09177820267686425,4.2727272727272725,2000715
238,2022-09-02,440,charm,35724,3149,1,12,32,34,16,5,1,101,0.0881480237375434,3.702970297029703,10554644
239,2022-09-03,441,gully,31191,2877,0,1,9,27,31,25,7,100,0.09223814561892854,4.91,800734
240,2022-09-04,442,inter,32018,2889,0,6,25,36,23,8,1,99,0.09023049534636766,4.05050505050505,15269346
241,2022-09-05,443,whoop,32733,2970,0,1,16,47,29,7,1,101,0.09073412152873248,4.2772277227722775,331753
242,2022-09-06,444,taunt,32734,3022,0,4,19,27,21,16,13,100,0.09231991201808518,4.65,295148
243,2022-09-07,445,leery,30992,2873,0,3,17,37,28,12,2,99,0.09270134228187919,4.353535353535354,168700
244,2022-09-08,446,class,31962,3001,0,4,21,32,22,13,7,99,0.0938927476378199,4.404040404040404,191087771
245,2022-09-09,447,theme,32172,2909,0,8,29,40,18,4,0,99,0.09042024120353102,3.808080808080808,37219937
246,2022-09-10,448,lofty,29237,2777,0,4,19,34,27,13,3,100,0.09498238533365257,4.35,1018661
247,2022-09-11,449,tibia,27887,2675,0,1,14,40,30,12,2,99,0.09592283142682971,4.444444444444445,620778
248,2022-09-12,450,booze,29147,2883,0,1,7,27,38,23,4,100,0.09891240951041273,4.87,1178694
249,2022-09-13,451,alpha,29497,2706,0,3,19,40,28,9,1,100,0.09173814286198596,4.24,27832836
250,2022-09-14,452,thyme,32142,2938,1,5,24,41,23,5,0,99,0.09140688196129675,3.95959595959596,1007823
